seed = 11
if(same > 1000000 and deltaCost < 50.0 and rand()%10==0){


rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
originWL: 16272, bestHPWL: 16272
originWL: 15915, bestHPWL: 15915
originWL: 15842, bestHPWL: 15842
originWL: 15732, bestHPWL: 15732
originWL: 15569, bestHPWL: 15569
originWL: 15083, bestHPWL: 15083
originWL: 15019, bestHPWL: 15019
originWL: 15019, bestHPWL: 15019
originWL: 15001, bestHPWL: 15001
originWL: 14928, bestHPWL: 14928
originWL: 14343, bestHPWL: 14343
originWL: 14283, bestHPWL: 14283
originWL: 14259, bestHPWL: 14259
originWL: 14192, bestHPWL: 14192
originWL: 14153, bestHPWL: 14153
originWL: 14128, bestHPWL: 14128
originWL: 14128, bestHPWL: 14128
originWL: 14073, bestHPWL: 14073
originWL: 14013, bestHPWL: 14013
originWL: 14013, bestHPWL: 14013
originWL: 14004, bestHPWL: 14004
originWL: 13977, bestHPWL: 13977
originWL: 13930, bestHPWL: 13930
originWL: 13835, bestHPWL: 13835
originWL: 13761, bestHPWL: 13761
originWL: 13728, bestHPWL: 13728
originWL: 13728, bestHPWL: 13728
originWL: 13728, bestHPWL: 13728
originWL: 13667.5, bestHPWL: 13667.5
originWL: 13667.5, bestHPWL: 13667.5
originWL: 13506, bestHPWL: 13506
originWL: 13288, bestHPWL: 13288
originWL: 13265, bestHPWL: 13265
originWL: 13202, bestHPWL: 13202
originWL: 13159, bestHPWL: 13159
originWL: 13104, bestHPWL: 13104
originWL: 13094, bestHPWL: 13094
originWL: 13085, bestHPWL: 13085
originWL: 13057, bestHPWL: 13057
originWL: 13042, bestHPWL: 13042
originWL: 12939, bestHPWL: 12939
originWL: 12910, bestHPWL: 12910
originWL: 12910, bestHPWL: 12910
originWL: 12891, bestHPWL: 12891
originWL: 12891, bestHPWL: 12891
originWL: 12841, bestHPWL: 12841
originWL: 12841, bestHPWL: 12841
originWL: 12841, bestHPWL: 12841
originWL: 12841, bestHPWL: 12841
originWL: 12820, bestHPWL: 12820
originWL: 12776, bestHPWL: 12776
originWL: 12776, bestHPWL: 12776
originWL: 12732, bestHPWL: 12732
originWL: 12732, bestHPWL: 12732
originWL: 12732, bestHPWL: 12732
originWL: 12721, bestHPWL: 12721
originWL: 12721, bestHPWL: 12721
originWL: 12721, bestHPWL: 12721
originWL: 12721, bestHPWL: 12721
originWL: 12721, bestHPWL: 12721
originWL: 12721, bestHPWL: 12721
originWL: 12721, bestHPWL: 12721
originWL: 12721, bestHPWL: 12721
originWL: 12721, bestHPWL: 12721
originWL: 12721, bestHPWL: 12721
originWL: 12721, bestHPWL: 12721
originWL: 12718, bestHPWL: 12718
originWL: 12718, bestHPWL: 12718
originWL: 12706, bestHPWL: 12706
originWL: 12706, bestHPWL: 12706
originWL: 12706, bestHPWL: 12706
originWL: 12706, bestHPWL: 12706
originWL: 12706, bestHPWL: 12706
originWL: 12675, bestHPWL: 12675
originWL: 12675, bestHPWL: 12675
originWL: 12659.5, bestHPWL: 12659.5
originWL: 12655.5, bestHPWL: 12655.5
originWL: 12651.5, bestHPWL: 12651.5
originWL: 12634.5, bestHPWL: 12634.5
originWL: 12590.5, bestHPWL: 12590.5
originWL: 12512, bestHPWL: 12512
originWL: 12508, bestHPWL: 12508
originWL: 12465, bestHPWL: 12465
originWL: 12465, bestHPWL: 12465
originWL: 12465, bestHPWL: 12465
originWL: 12465, bestHPWL: 12465
originWL: 12465, bestHPWL: 12465
originWL: 12464, bestHPWL: 12464
originWL: 12464, bestHPWL: 12464
originWL: 12464, bestHPWL: 12464
originWL: 12464, bestHPWL: 12464
originWL: 12395, bestHPWL: 12395
originWL: 12392, bestHPWL: 12392
originWL: 12366, bestHPWL: 12366
originWL: 12327, bestHPWL: 12327
originWL: 12327, bestHPWL: 12327
originWL: 12327, bestHPWL: 12327
originWL: 12327, bestHPWL: 12327
originWL: 12327, bestHPWL: 12327
originWL: 12327, bestHPWL: 12327
originWL: 12327, bestHPWL: 12327
originWL: 12327, bestHPWL: 12327
originWL: 12327, bestHPWL: 12327
originWL: 12327, bestHPWL: 12327
originWL: 12326, bestHPWL: 12326
originWL: 12326, bestHPWL: 12326
originWL: 12309, bestHPWL: 12309
originWL: 12309, bestHPWL: 12309
originWL: 12301, bestHPWL: 12301
originWL: 12300, bestHPWL: 12300
originWL: 12300, bestHPWL: 12300
originWL: 12300, bestHPWL: 12300
originWL: 12300, bestHPWL: 12300
originWL: 12300, bestHPWL: 12300
originWL: 12300, bestHPWL: 12300
originWL: 12300, bestHPWL: 12300
originWL: 12300, bestHPWL: 12300
originWL: 12300, bestHPWL: 12300
originWL: 12300, bestHPWL: 12300
originWL: 12300, bestHPWL: 12300
originWL: 12300, bestHPWL: 12300
originWL: 12300, bestHPWL: 12300
originWL: 12259, bestHPWL: 12259
originWL: 12259, bestHPWL: 12259
originWL: 12256, bestHPWL: 12256
originWL: 12256, bestHPWL: 12256
originWL: 12256, bestHPWL: 12256
originWL: 12256, bestHPWL: 12256
originWL: 12256, bestHPWL: 12256
originWL: 12190, bestHPWL: 12190
originWL: 12189, bestHPWL: 12189
originWL: 12189, bestHPWL: 12189
originWL: 12184, bestHPWL: 12184
originWL: 12160, bestHPWL: 12160
originWL: 12149, bestHPWL: 12149
originWL: 12146, bestHPWL: 12146
originWL: 12146, bestHPWL: 12146
originWL: 12141, bestHPWL: 12141
originWL: 12141, bestHPWL: 12141
originWL: 12141, bestHPWL: 12141
originWL: 12141, bestHPWL: 12141
originWL: 12141, bestHPWL: 12141
originWL: 12139, bestHPWL: 12139
originWL: 12139, bestHPWL: 12139
originWL: 12139, bestHPWL: 12139
originWL: 12137, bestHPWL: 12137
originWL: 12137, bestHPWL: 12137
originWL: 12137, bestHPWL: 12137
originWL: 12116, bestHPWL: 12116
originWL: 12107, bestHPWL: 12107
originWL: 12107, bestHPWL: 12107
originWL: 12107, bestHPWL: 12107
originWL: 12100, bestHPWL: 12100
originWL: 12100, bestHPWL: 12100
originWL: 12094, bestHPWL: 12094
originWL: 12094, bestHPWL: 12094
originWL: 12094, bestHPWL: 12094
originWL: 12094, bestHPWL: 12094
originWL: 12094, bestHPWL: 12094
originWL: 12094, bestHPWL: 12094
originWL: 12083, bestHPWL: 12083
originWL: 12083, bestHPWL: 12083
originWL: 12083, bestHPWL: 12083
originWL: 12074, bestHPWL: 12074
originWL: 12058, bestHPWL: 12058
originWL: 12058, bestHPWL: 12058
originWL: 12027, bestHPWL: 12027
originWL: 12027, bestHPWL: 12027
originWL: 12027, bestHPWL: 12027
originWL: 12027, bestHPWL: 12027
originWL: 12027, bestHPWL: 12027
originWL: 12027, bestHPWL: 12027
originWL: 12027, bestHPWL: 12027
originWL: 11996, bestHPWL: 11996
originWL: 11996, bestHPWL: 11996
originWL: 11951, bestHPWL: 11951
originWL: 11951, bestHPWL: 11951
originWL: 11951, bestHPWL: 11951
originWL: 11946, bestHPWL: 11946
originWL: 11946, bestHPWL: 11946
originWL: 11946, bestHPWL: 11946
originWL: 11946, bestHPWL: 11946
originWL: 11946, bestHPWL: 11946
originWL: 11946, bestHPWL: 11946
originWL: 11939, bestHPWL: 11939
originWL: 11939, bestHPWL: 11939
originWL: 11939, bestHPWL: 11939
originWL: 11939, bestHPWL: 11939
originWL: 11939, bestHPWL: 11939
originWL: 11939, bestHPWL: 11939
originWL: 11939, bestHPWL: 11939
originWL: 11939, bestHPWL: 11939
originWL: 11939, bestHPWL: 11939
originWL: 11939, bestHPWL: 11939
originWL: 11937, bestHPWL: 11937
originWL: 11937, bestHPWL: 11937
originWL: 11937, bestHPWL: 11937
originWL: 11926, bestHPWL: 11926
originWL: 11926, bestHPWL: 11926
originWL: 11926, bestHPWL: 11926
originWL: 11926, bestHPWL: 11926
