seed=5
if(same > 1000000 and deltaCost < 50.0){

rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
originWL: 16272, bestHPWL: 16272
originWL: 16066, bestHPWL: 16066
originWL: 15488, bestHPWL: 15488
originWL: 15429, bestHPWL: 15429
originWL: 15411, bestHPWL: 15411
originWL: 15411, bestHPWL: 15411
originWL: 15189, bestHPWL: 15189
originWL: 15068, bestHPWL: 15068
originWL: 14606, bestHPWL: 14606
originWL: 14543, bestHPWL: 14543
originWL: 14543, bestHPWL: 14543
originWL: 14426, bestHPWL: 14426
originWL: 14352, bestHPWL: 14352
originWL: 14312, bestHPWL: 14312
originWL: 14282, bestHPWL: 14282
originWL: 14282, bestHPWL: 14282
originWL: 14225, bestHPWL: 14225
originWL: 14150, bestHPWL: 14150
originWL: 14138, bestHPWL: 14138
originWL: 14091, bestHPWL: 14091
originWL: 14091, bestHPWL: 14091
originWL: 14017, bestHPWL: 14017
originWL: 14003, bestHPWL: 14003
originWL: 13981, bestHPWL: 13981
originWL: 13958, bestHPWL: 13958
originWL: 13895, bestHPWL: 13895
originWL: 13895, bestHPWL: 13895
originWL: 13895, bestHPWL: 13895
originWL: 13845, bestHPWL: 13845
originWL: 13717, bestHPWL: 13717
originWL: 13667, bestHPWL: 13667
originWL: 13667, bestHPWL: 13667
originWL: 13578, bestHPWL: 13578
originWL: 13560, bestHPWL: 13560
originWL: 13518, bestHPWL: 13518
originWL: 13513, bestHPWL: 13513
originWL: 13502, bestHPWL: 13502
originWL: 13446, bestHPWL: 13446
originWL: 13446, bestHPWL: 13446
originWL: 13446, bestHPWL: 13446
originWL: 13446, bestHPWL: 13446
originWL: 13393, bestHPWL: 13393
originWL: 13392, bestHPWL: 13392
originWL: 13374, bestHPWL: 13374
originWL: 13346, bestHPWL: 13346
originWL: 13346, bestHPWL: 13346
originWL: 13343, bestHPWL: 13343
originWL: 13343, bestHPWL: 13343
originWL: 13319, bestHPWL: 13319
originWL: 13255.5, bestHPWL: 13255.5
originWL: 13166, bestHPWL: 13166
originWL: 13164, bestHPWL: 13164
originWL: 13143, bestHPWL: 13143
originWL: 13143, bestHPWL: 13143
originWL: 13043, bestHPWL: 13043
originWL: 13031, bestHPWL: 13031
originWL: 12980, bestHPWL: 12980
originWL: 12963, bestHPWL: 12963
originWL: 12963, bestHPWL: 12963
originWL: 12897, bestHPWL: 12897
originWL: 12882, bestHPWL: 12882
originWL: 12882, bestHPWL: 12882
originWL: 12858, bestHPWL: 12858
originWL: 12858, bestHPWL: 12858
originWL: 12858, bestHPWL: 12858
originWL: 12856, bestHPWL: 12856
originWL: 12855, bestHPWL: 12855
originWL: 12809, bestHPWL: 12809
originWL: 12809, bestHPWL: 12809
originWL: 12809, bestHPWL: 12809
originWL: 12797, bestHPWL: 12797
originWL: 12785, bestHPWL: 12785
originWL: 12772, bestHPWL: 12772
originWL: 12752, bestHPWL: 12752
originWL: 12742, bestHPWL: 12742
originWL: 12742, bestHPWL: 12742
originWL: 12742, bestHPWL: 12742
originWL: 12736, bestHPWL: 12736
originWL: 12714, bestHPWL: 12714
originWL: 12712, bestHPWL: 12712
originWL: 12628, bestHPWL: 12628
originWL: 12625, bestHPWL: 12625
originWL: 12585.5, bestHPWL: 12585.5
originWL: 12566.5, bestHPWL: 12566.5
originWL: 12566.5, bestHPWL: 12566.5
originWL: 12566.5, bestHPWL: 12566.5
originWL: 12566.5, bestHPWL: 12566.5
originWL: 12566.5, bestHPWL: 12566.5
originWL: 12563.5, bestHPWL: 12563.5
originWL: 12563.5, bestHPWL: 12563.5
originWL: 12563.5, bestHPWL: 12563.5
originWL: 12563.5, bestHPWL: 12563.5
originWL: 12526, bestHPWL: 12526
originWL: 12499.5, bestHPWL: 12499.5
originWL: 12476.5, bestHPWL: 12476.5
originWL: 12476.5, bestHPWL: 12476.5
originWL: 12409.5, bestHPWL: 12409.5
originWL: 12403.5, bestHPWL: 12403.5
originWL: 12403.5, bestHPWL: 12403.5
originWL: 12403.5, bestHPWL: 12403.5
originWL: 12403.5, bestHPWL: 12403.5
originWL: 12403.5, bestHPWL: 12403.5
originWL: 12366.5, bestHPWL: 12366.5
originWL: 12320.5, bestHPWL: 12320.5
originWL: 12320.5, bestHPWL: 12320.5
originWL: 12300.5, bestHPWL: 12300.5
originWL: 12300.5, bestHPWL: 12300.5
originWL: 12285.5, bestHPWL: 12285.5
originWL: 12285.5, bestHPWL: 12285.5
originWL: 12275.5, bestHPWL: 12275.5
originWL: 12256.5, bestHPWL: 12256.5
originWL: 12233.5, bestHPWL: 12233.5
originWL: 12233.5, bestHPWL: 12233.5
originWL: 12233.5, bestHPWL: 12233.5
originWL: 12232.5, bestHPWL: 12232.5
originWL: 12232.5, bestHPWL: 12232.5
originWL: 12220.5, bestHPWL: 12220.5
originWL: 12209.5, bestHPWL: 12209.5
originWL: 12209.5, bestHPWL: 12209.5
originWL: 12209.5, bestHPWL: 12209.5
originWL: 12209.5, bestHPWL: 12209.5
originWL: 12209.5, bestHPWL: 12209.5
originWL: 12167.5, bestHPWL: 12167.5
originWL: 12167.5, bestHPWL: 12167.5
originWL: 12123.5, bestHPWL: 12123.5
originWL: 12123.5, bestHPWL: 12123.5
originWL: 12123.5, bestHPWL: 12123.5
originWL: 12123.5, bestHPWL: 12123.5
originWL: 12123.5, bestHPWL: 12123.5
originWL: 12099.5, bestHPWL: 12099.5
originWL: 12098.5, bestHPWL: 12098.5
originWL: 12098.5, bestHPWL: 12098.5
originWL: 12098.5, bestHPWL: 12098.5
originWL: 12098.5, bestHPWL: 12098.5
originWL: 12082.5, bestHPWL: 12082.5
originWL: 12082.5, bestHPWL: 12082.5
originWL: 12082.5, bestHPWL: 12082.5
originWL: 12082.5, bestHPWL: 12082.5
originWL: 12082.5, bestHPWL: 12082.5
originWL: 12082.5, bestHPWL: 12082.5
originWL: 12082.5, bestHPWL: 12082.5
originWL: 12080.5, bestHPWL: 12080.5
originWL: 12080.5, bestHPWL: 12080.5
originWL: 12080.5, bestHPWL: 12080.5
originWL: 12080.5, bestHPWL: 12080.5
originWL: 12080.5, bestHPWL: 12080.5
originWL: 12080.5, bestHPWL: 12080.5
originWL: 12080.5, bestHPWL: 12080.5
originWL: 12080.5, bestHPWL: 12080.5
originWL: 12080.5, bestHPWL: 12080.5
originWL: 12060.5, bestHPWL: 12060.5
originWL: 12060.5, bestHPWL: 12060.5
originWL: 12060.5, bestHPWL: 12060.5
originWL: 12060.5, bestHPWL: 12060.5
originWL: 12060.5, bestHPWL: 12060.5
originWL: 12060.5, bestHPWL: 12060.5
originWL: 12060.5, bestHPWL: 12060.5
Try uphill !
originWL: 12101.5, bestHPWL: 12060.5
originWL: 12072.5, bestHPWL: 12060.5
originWL: 12071.5, bestHPWL: 12060.5
originWL: 12071.5, bestHPWL: 12060.5
originWL: 12058.5, bestHPWL: 12058.5
originWL: 12057.5, bestHPWL: 12057.5
originWL: 12044.5, bestHPWL: 12044.5
originWL: 12031.5, bestHPWL: 12031.5
originWL: 12031.5, bestHPWL: 12031.5
originWL: 12031.5, bestHPWL: 12031.5
originWL: 11997.5, bestHPWL: 11997.5
originWL: 11997.5, bestHPWL: 11997.5
originWL: 11997.5, bestHPWL: 11997.5
originWL: 11997.5, bestHPWL: 11997.5
originWL: 11997.5, bestHPWL: 11997.5
originWL: 11976.5, bestHPWL: 11976.5
originWL: 11976.5, bestHPWL: 11976.5
originWL: 11976.5, bestHPWL: 11976.5
originWL: 11976.5, bestHPWL: 11976.5
originWL: 11975.5, bestHPWL: 11975.5
originWL: 11975.5, bestHPWL: 11975.5
originWL: 11975.5, bestHPWL: 11975.5
originWL: 11975.5, bestHPWL: 11975.5
originWL: 11975.5, bestHPWL: 11975.5
originWL: 11975.5, bestHPWL: 11975.5
originWL: 11975.5, bestHPWL: 11975.5
originWL: 11975.5, bestHPWL: 11975.5
originWL: 11975.5, bestHPWL: 11975.5
originWL: 11975.5, bestHPWL: 11975.5
originWL: 11975.5, bestHPWL: 11975.5
originWL: 11975.5, bestHPWL: 11975.5
Try uphill !
originWL: 12001.5, bestHPWL: 11975.5
originWL: 11965.5, bestHPWL: 11965.5
originWL: 11961.5, bestHPWL: 11961.5
originWL: 11961.5, bestHPWL: 11961.5
originWL: 11960.5, bestHPWL: 11960.5
originWL: 11960.5, bestHPWL: 11960.5
originWL: 11960.5, bestHPWL: 11960.5
originWL: 11960.5, bestHPWL: 11960.5
originWL: 11960.5, bestHPWL: 11960.5
originWL: 11960.5, bestHPWL: 11960.5
originWL: 11960.5, bestHPWL: 11960.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
originWL: 11956.5, bestHPWL: 11956.5
Try uphill !
originWL: 12004.5, bestHPWL: 11956.5
originWL: 12004.5, bestHPWL: 11956.5
originWL: 12004.5, bestHPWL: 11956.5
originWL: 11994.5, bestHPWL: 11956.5
originWL: 11994.5, bestHPWL: 11956.5
originWL: 11994.5, bestHPWL: 11956.5
originWL: 11994.5, bestHPWL: 11956.5
originWL: 11946.5, bestHPWL: 11946.5
originWL: 11946.5, bestHPWL: 11946.5
originWL: 11946.5, bestHPWL: 11946.5
originWL: 11946.5, bestHPWL: 11946.5
originWL: 11928.5, bestHPWL: 11928.5
originWL: 11928.5, bestHPWL: 11928.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11923.5, bestHPWL: 11923.5
originWL: 11919.5, bestHPWL: 11919.5
Try uphill !
originWL: 11949.5, bestHPWL: 11919.5
originWL: 11949.5, bestHPWL: 11919.5
originWL: 11949.5, bestHPWL: 11919.5
originWL: 11949.5, bestHPWL: 11919.5
originWL: 11949.5, bestHPWL: 11919.5
originWL: 11946.5, bestHPWL: 11919.5
originWL: 11946.5, bestHPWL: 11919.5
originWL: 11946.5, bestHPWL: 11919.5
originWL: 11946.5, bestHPWL: 11919.5
originWL: 11946.5, bestHPWL: 11919.5
originWL: 11946.5, bestHPWL: 11919.5
originWL: 11946.5, bestHPWL: 11919.5
originWL: 11946.5, bestHPWL: 11919.5
originWL: 11946.5, bestHPWL: 11919.5
originWL: 11946.5, bestHPWL: 11919.5
originWL: 11946.5, bestHPWL: 11919.5
originWL: 11946.5, bestHPWL: 11919.5
